code,canonical,crop,condition,raw_folder,n_images
D2I,tea__healthy,tea,healthy,Tea__healthy,222
D2J,tea__red_leaf_spot,tea,red_leaf_spot,Tea__red_leaf_spot,420
D2K,tomato__bacterial_spot,tomato,bacterial_spot,Tomato_Bacterial_spot,603
D2K,tomato__bacterial_spot,tomato,bacterial_spot,Tomato__bacterial_spot,521
D2L,tomato__early_blight,tomato,early_blight,Tomato_Early_blight,547
D2L,tomato__early_blight,tomato,early_blight,Tomato__early_blight,420
D2M,tomato__healthy,tomato,healthy,Tomato__healthy,1060
D2M,tomato__healthy,tomato,healthy,Tomato_healthy,479
D2N,tomato__late_blight,tomato,late_blight,Tomato_Late_blight,593
D2N,tomato__late_blight,tomato,late_blight,Tomato__late_blight,512
D2O,tomato__leaf_mold,tomato,leaf_mold,Tomato_Leaf_Mold,550
D2O,tomato__leaf_mold,tomato,leaf_mold,Tomato__leaf_mold,399
D2P,tomato__mosaic_virus,tomato,mosaic_virus,Tomato__Tomato_mosaic_virus,373
D2P,tomato__mosaic_virus,tomato,mosaic_virus,Tomato__mosaic_virus,174
D2Q,tomato__rotten,tomato,rotten,Tomato__Rotten,488
D2R,tomato__septoria_leaf_spot,tomato,septoria_leaf_spot,Tomato_Septoria_leaf_spot,600
D2R,tomato__septoria_leaf_spot,tomato,septoria_leaf_spot,Tomato__septoria_leaf_spot,494
D2S,tomato__spider_mites,tomato,spider_mites,Tomato_Spider_mites_Two_spotted_spider_mite,589
D2S,tomato__spider_mites,tomato,spider_mites,Tomato__spider_mites_(two_spotted_spider_mite),489
D2T,tomato__target_spot,tomato,target_spot,Tomato__target_spot,909
D2U,tomato__yellow_leaf_curl_virus,tomato,yellow_leaf_curl_virus,Tomato__Tomato_YellowLeaf__Curl_Virus,617
D2U,tomato__yellow_leaf_curl_virus,tomato,yellow_leaf_curl_virus,Tomato__yellow_leaf_curl_virus,566
D2V,wheat__brown_rust,wheat,brown_rust,Wheat___Brown_Rust,539
D2V,wheat__brown_rust,wheat,brown_rust,Wheat__brown_rust,402
D2W,wheat__healthy,wheat,healthy,Wheat___Healthy,564
D2W,wheat__healthy,wheat,healthy,Wheat__healthy,421
D2X,wheat__septoria,wheat,septoria,Wheat__septoria,97
D2Y,wheat__yellow_rust,wheat,yellow_rust,Wheat___Yellow_Rust,546
D2Y,wheat__yellow_rust,wheat,yellow_rust,Wheat__yellow_rust,445
