code,pesticide_en,pesticide_hi
D1B,None needed,कोई ज़रूरत नहीं
D1C,Consult agricultural officer,कृषि अधिकारी से परामर्श करें
D1D,None needed,कोई ज़रूरत नहीं
D1E,Discard affected produce,प्रभावित फल हटा दें
D1F,None needed,कोई ज़रूरत नहीं
D1G,Discard affected produce,प्रभावित फल हटा दें
D1H,Copper + Streptomycin,कॉपर + स्ट्रेप्टोमाइसिन
D1I,None needed,कोई ज़रूरत नहीं
D1J,Copper + Streptomycin,कॉपर + स्ट्रेप्टोमाइसिन
D1K,Consult agricultural officer,कृषि अधिकारी से परामर्श करें
D1L,Consult agricultural officer,कृषि अधिकारी से परामर्श करें
D1M,None needed,कोई ज़रूरत नहीं
D1N,Discard affected produce,प्रभावित फल हटा दें
D1O,Mancozeb,मैंकोज़ेब
D1P,None needed,कोई ज़रूरत नहीं
D1Q,Mancozeb,मैंकोज़ेब
D1R,Discard affected produce,प्रभावित फल हटा दें
D1S,Copper Oxychloride,कॉपर ऑक्सीक्लोराइड
D1T,None needed,कोई ज़रूरत नहीं
D1U,Imidacloprid (insecticide),इमिडाक्लोप्रिड (कीटनाशक)
D1V,Tricyclazole,ट्राइसाइक्लाज़ोल
D1W,Tricyclazole,ट्राइसाइक्लाज़ोल
D1X,Copper + Streptomycin,कॉपर + स्ट्रेप्टोमाइसिन
D1Y,Imidacloprid (insecticide),इमिडाक्लोप्रिड (कीटनाशक)
D1Z,Imidacloprid (insecticide),इमिडाक्लोप्रिड (कीटनाशक)
D20,Mancozeb,मैंकोज़ेब
D21,None needed,कोई ज़रूरत नहीं
D22,No cure — remove plants & control insect vector,कोई इलाज नहीं — पौधे हटाएँ व वाहक कीट नियंत्रित करें
D23,Sulfur (wettable),गंधक (वेटेबल)
D24,Propiconazole,प्रोपिकोनाज़ोल
D25,Mancozeb,मैंकोज़ेब
D26,None needed,कोई ज़रूरत नहीं
D27,Copper Oxychloride,कॉपर ऑक्सीक्लोराइड
D28,Discard affected produce,प्रभावित फल हटा दें
D29,Copper + Streptomycin,कॉपर + स्ट्रेप्टोमाइसिन
D2A,None needed,कोई ज़रूरत नहीं
D2B,Copper Fungicide,ताम्र फफूंदनाशक
D2C,Consult agricultural officer,कृषि अधिकारी से परामर्श करें
D2D,Propiconazole,प्रोपिकोनाज़ोल
D2E,Copper Oxychloride,कॉपर ऑक्सीक्लोराइड
D2F,Carbendazim,कार्बेन्डाज़िम
D2G,Copper Oxychloride,कॉपर ऑक्सीक्लोराइड
D2H,Mancozeb,मैंकोज़ेब
D2I,None needed,कोई ज़रूरत नहीं
D2J,Copper Oxychloride,कॉपर ऑक्सीक्लोराइड
D2K,Copper + Streptomycin,कॉपर + स्ट्रेप्टोमाइसिन
D2L,Mancozeb,मैंकोज़ेब
D2M,None needed,कोई ज़रूरत नहीं
D2N,Mancozeb,मैंकोज़ेब
D2O,Chlorothalonil,क्लोरोथैलोनिल
D2P,No cure — remove plants & control insect vector,कोई इलाज नहीं — पौधे हटाएँ व वाहक कीट नियंत्रित करें
D2Q,Discard affected produce,प्रभावित फल हटा दें
D2R,Copper Oxychloride,कॉपर ऑक्सीक्लोराइड
D2S,Abamectin (miticide),एबामेक्टिन (माइटसाइड)
D2T,Chlorothalonil,क्लोरोथैलोनिल
D2U,No cure — remove plants & control insect vector,कोई इलाज नहीं — पौधे हटाएँ व वाहक कीट नियंत्रित करें
D2V,Propiconazole,प्रोपिकोनाज़ोल
D2W,None needed,कोई ज़रूरत नहीं
D2X,Copper Oxychloride,कॉपर ऑक्सीक्लोराइड
D2Y,Propiconazole,प्रोपिकोनाज़ोल
